,US_Equity_TR,Europe_Equity_TR,Japan_Equity_TR,EM_Equity_TR,US_GovtBond_TR,US_CorpBond_TR,EU_GovtBond_TR,JP_GovtBond_TR,US_Bills,EU_Bills,JP_Bills,Commodities_TR,Gold,Silver
1972-07-31,,,,,,,,,0.003316666666666667,0.0038750000000000004,,,,
1972-08-31,0.037787164875107505,,0.03908466900871721,,,,,,0.0033499999999999992,0.004,,,,
1972-09-30,-0.001527529966098028,,0.062420355093441016,,,,,,0.0038833333333333337,0.004433333333333333,,,,
1972-10-31,0.012650373142139605,,0.050307561040384696,,,,,,0.00395,0.005733333333333333,,,,
1972-11-30,0.04895079393884109,,0.07293310683117493,,,,,,0.0039833333333333335,0.006725000000000001,,,,
1972-12-31,0.015161608849496279,,0.06962061368101313,,,,,,0.0042250000000000005,0.007166666666666666,,,,
1973-01-31,-0.013778095893612861,,-0.00819896302792622,,,,,,0.004508333333333334,0.006575,,,,
1973-02-28,-0.034156958142023096,,-0.008503072105718656,,,,,,0.004666666666666666,0.006633333333333334,,,,
1973-03-31,0.0019006357897073732,,0.021961177724515002,,,,,,0.005075,0.007308333333333333,,,,
1973-04-30,-0.03746648337510957,,-0.12676472613264056,,,,,,0.005216666666666667,0.008849999999999998,,,,
1973-05-31,-0.015550505587947204,,-0.0028379164353641295,,,,,,0.0053,0.01035,,,,
1973-06-30,-0.0032411767388489045,,0.025839577614892084,,,,,,0.005991666666666667,0.011349999999999999,,,,
1973-07-31,0.041315291930440846,,0.07829960501933964,,,,,,0.006675,0.011916666666666667,,,,
1973-08-31,-0.03335120904258789,,-0.03155815235399617,,,,,,0.007225,0.012141666666666667,,,,
1973-09-30,0.04342925952206992,,-0.05423082616227204,,,,,,0.006908333333333332,0.011874999999999998,,,,
1973-10-31,0.00204218338171095,,0.01784578987197105,,,,,,0.006016666666666667,0.012075,,,,
1973-11-30,-0.11052761159982646,,-0.012317758032766024,,,,,,0.0065249999999999996,0.011349999999999999,,,,
1973-12-31,0.019902778752830454,,-0.07217828497758583,,,,,,0.006208333333333333,0.011000000000000001,,,,
1974-01-31,-0.006712830954469139,,0.0332265496762818,,,,,,0.006474999999999999,0.010074999999999999,,,,
1974-02-28,-0.00029096484650655745,,0.00824292154570272,,,,,,0.005933333333333333,0.008891666666666668,,,,
1974-03-31,-0.019946627541241733,,-0.0045557955169256426,,,,,,0.006633333333333334,0.009333333333333332,,,,
1974-04-30,-0.03571758885488215,,0.03497650233883309,,,,,,0.006941666666666666,0.008391666666666667,,,,
1974-05-31,-0.030217755817466295,,0.02771097840792014,,,,,,0.0068583333333333335,0.007583333333333333,,,,
1974-06-30,-0.011332097432008213,,-0.031064454248223905,,,,,,0.006583333333333333,0.007883333333333334,,,,
1974-07-31,-0.07445739272953009,,-0.023995940033169738,,,,,,0.006291666666666667,0.0079,,,,
1974-08-31,-0.08694527280866135,,-0.09410072913618817,,,,,,0.0074666666666666675,0.008041666666666667,,,,
1974-09-30,-0.11600139193709244,,-0.029407701256835228,,,,,,0.006716666666666667,0.008075,,,,
1974-10-31,0.16638024018063682,,-0.08998732941060128,,,,,,0.006216666666666666,0.00815,,,,
1974-11-30,-0.049846642634590564,,0.09262353754534391,,,,,,0.0062250000000000005,0.007533333333333333,,,,
1974-12-31,-0.016818212150592947,,-0.023057998573879468,,,,,,0.005958333333333334,0.007166666666666666,,,,
1975-01-31,0.1261455576357601,,0.03143140474412642,,,,,,0.005216666666666667,0.00645,,,,
1975-02-28,0.06321892413516608,,0.0798124347973661,,,,,,0.004583333333333333,0.005358333333333333,,,,
1975-03-31,0.02502722170085795,,0.049511060623044,,,,,,0.004575,0.004758333333333333,,,,
1975-04-30,0.05059823751469176,,-2.9068441373070186e-05,,,,,,0.004675,0.004075,,,,
